Suburb,Rooms,Type,Price,Method,SellerG,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Regionname,Propertycount
Abbotsford,2,h,,SS,Jellis,2.5,2,1,1,126,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1480000,S,Biggin,2.5,2,1,1,202,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1035000,S,Biggin,2.5,2,1,0,156,79,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,u,,VB,Rounds,2.5,3,2,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1465000,SP,Biggin,2.5,3,2,0,134,150,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,850000,PI,Biggin,2.5,3,2,1,94,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,1600000,VB,Nelson,2.5,3,1,2,120,142,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,,SN,Nelson,2.5,3,2,2,400,220,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,,S,Biggin,2.5,4,1,2,201,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,,S,Collins,2.5,3,2,1,202,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,941000,S,Jellis,2.5,2,1,0,181,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1876000,S,Nelson,2.5,4,2,0,245,210,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,,PI,Biggin,2.5,2,2,1,4292,82,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,,W,Biggin,2.5,6,2,0,230,147,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1636000,S,Nelson,2.5,2,1,2,256,107,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1000000,S,Jellis,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,t,745000,S,Jellis,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,300000,S,Biggin,2.5,1,1,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1097000,S,Biggin,2.5,3,1,2,220,75,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,542000,S,Dingle,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,,SP,Biggin,2.5,2,1,1,176,80,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,760000,SP,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,481000,SP,Purplebricks,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,700000,VB,Jellis,2.5,2,2,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1350000,VB,Nelson,2.5,3,2,2,214,190,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,750000,S,Biggin,2.5,2,2,1,0,94,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,1985000,S,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,500000,S,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1172500,S,Biggin,2.5,2,1,1,195,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,441000,SP,Greg,2.5,1,1,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1310000,S,Jellis,2.5,2,1,2,238,97,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,u,,PI,Philip,2.5,3,2,2,0,129,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1200000,S,Jellis,2.5,3,2,1,113,110,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,t,847000,S,Jellis,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,,PI,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1176500,S,LITTLE,2.5,2,1,1,138,105,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,955000,S,Collins,2.5,3,1,0,183,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,890000,S,Biggin,2.5,2,1,1,150,73,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,1330000,PI,Kay,2.5,4,2,2,780,135,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,,SP,Nelson,2.5,3,2,1,119,167,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,t,900000,S,Beller,2.5,3,2,2,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,u,1090000,S,Jellis,2.5,3,2,2,4290,27,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,500000,S,Collins,2.5,2,1,1,0,60,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1100000,PI,Biggin,2.5,2,2,1,124,135,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1315000,S,Marshall,2.5,2,1,0,147,85,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,480000,S,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,423500,S,hockingstuart,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,,PI,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,426000,SP,Greg,2.5,1,1,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1447500,PI,Nelson,2.5,3,3,1,166,174,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,457000,S,Jellis,2.5,1,1,1,0,50,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1135000,S,Nelson,2.5,2,2,2,98,128,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,700000,S,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,1542000,S,Collins,2.5,4,3,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,t,962000,SP,Jellis,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1290000,S,Biggin,2.5,3,2,2,147,18,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1290000,S,Biggin,2.5,3,1,1,168,124,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,470000,S,Nelson,2.5,1,1,1,0,50,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1180000,S,Jellis,2.5,2,1,0,162,91,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1195000,SP,Jellis,2.5,3,2,1,120,128,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,,PI,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1012500,S,Nelson,2.5,2,1,0,182,82,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,970000,SP,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1030000,S,Biggin,2.5,2,1,1,172,81,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,,W,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,927000,S,Biggin,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Airport West,3,t,840000,PI,Nelson,13.5,3,2,1,303,225,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,730000,VB,Nelson,13.5,3,2,1,0,145,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,770000,SP,Nelson,13.5,3,2,1,0,145,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,,S,Brad,13.5,3,1,1,580,114,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,h,603000,S,Nelson,13.5,2,1,1,272,84,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,700000,S,Brad,13.5,3,2,2,239,134,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,600000,S,Maddison,13.5,2,1,1,290,116,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,500000,VB,Barry,13.5,2,1,1,168,86,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,t,420000,VB,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,500000,VB,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,5,h,1035000,S,Airport,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,960000,S,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,960000,S,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,720000,S,Barry,13.5,2,1,1,620,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,785000,S,Considine,13.5,3,1,2,597,127,Moonee Valley City Council,Western Metropolitan,3464
Airport West,6,h,725000,SP,Barry,13.5,6,3,2,976,186,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,t,450000,S,Barry,13.5,2,1,1,110,90,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,515000,S,Barry,13.5,2,1,1,141,73,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,680000,VB,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,530000,S,Nelson,13.5,2,1,1,120,94,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,895000,PI,Rendina,13.5,3,1,6,1063,133,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,600000,VB,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,805000,S,Nelson,13.5,3,1,1,0,105,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,760000,PI,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,752000,S,Nelson,13.5,3,1,1,265,130,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,u,580000,VB,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,725000,PI,Ray,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,758000,S,Jellis,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,440000,S,Barry,13.5,2,1,1,192,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,970000,S,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,5,h,755000,PI,Propertyau,13.5,3,2,2,596,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,985000,S,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,700000,PI,Brad,13.5,3,2,2,165,133,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,509500,SP,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,830000,S,Barry,13.5,3,1,2,971,113,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,u,462500,S,Barry,13.5,2,1,1,164,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,670000,SP,Barry,13.5,3,2,2,657,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,h,675000,S,Barry,13.5,2,1,1,612,100,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,1042000,S,Nelson,13.5,3,2,5,612,174,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,910000,S,McDonald,13.5,3,1,1,775,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,4,h,773000,S,Brad,13.5,5,3,4,531,309,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,715000,S,Barry,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,810000,PI,Barry,13.5,3,3,2,555,192,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,715000,S,Rendina,13.5,3,2,2,422,126,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,h,790000,S,Nelson,13.5,3,1,3,614,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,2,t,460000,VB,Nelson,13.5,,,,,,Moonee Valley City Council,Western Metropolitan,3464
Airport West,3,t,540000,SP,Nelson,13.5,2,2,1,161,101,Moonee Valley City Council,Western Metropolitan,3464
