Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members
5008827,M,Y,Y,0,180000,Pensioner,Higher education,Married,House / apartment,-18772,365243,1,0,0,0,,2
5009744,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2
5009746,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,,-586,1,1,1,0,,2
5009749,F,Y,N,0,,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2
5009752,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2
5009753,,Y,N,0,315000,Pensioner,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2
5009754,F,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2
5009894,F,N,N,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,-22134,365243,1,0,0,0,,2
5010864,M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,3
5010868,M,Y,Y,1,450000,Pensioner,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,3
5010869,M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18173,-678,1,0,1,1,Core staff,1
5018498,F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,2
5018501,F,Y,Y,0,,Working,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,2
5018503,F,Y,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,-18950,-1002,1,1,1,0,Cooking staff,2
5021303,M,N,N,1,472500,Pensioner,Higher education,Married,With parents,-8907,-913,1,0,0,1,,3
5021310,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,-16896,-248,1,0,0,0,Laborers,2
5021314,M,N,Y,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,-16896,-248,1,0,0,0,Laborers,2
5021430,F,N,Y,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,-18907,-2470,1,0,0,0,Sales staff,1
5021431,F,N,Y,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,-18907,-2470,1,0,0,0,Sales staff,1
5021998,M,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-18863,-1644,1,0,0,1,,2
5022053,M,N,N,0,202500,Working,Higher education,Single / not married,House / apartment,-12811,-4327,1,0,0,0,,1
5022617,M,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022,-1674,1,0,0,1,Laborers,2
5023781,M,N,Y,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,-17800,-1086,1,0,0,0,Accountants,2
5023831,F,N,Y,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-12135,-925,1,0,0,0,Sales staff,4
5024071,F,N,Y,0,180000,Working,Higher education,Married,House / apartment,-15976,-854,1,0,0,0,Laborers,2
5024213,F,Y,Y,0,540000,Commercial associate,Higher education,Married,House / apartment,-15702,-185,1,0,1,0,,2
5024916,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-21832,365243,1,0,1,0,,2
5024917,F,N,Y,0,,Pensioner,Secondary / secondary special,Married,House / apartment,-21832,365243,1,0,1,0,,2
5025127,,N,Y,0,292500,Working,Secondary / secondary special,Married,House / apartment,-11111,-3350,1,0,0,0,High skill tech staff,2
5028580,M,N,N,0,540000,Commercial associate,Higher education,Married,House / apartment,-19996,-691,1,0,0,0,Managers,2
5029028,F,N,Y,0,90000,Working,Lower secondary,Single / not married,Rented apartment,-12026,-4770,1,0,0,0,Cleaning staff,2
5029311,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-21876,365243,1,0,1,1,,2
5033453,F,N,N,0,135000,Working,Higher education,Single / not married,House / apartment,-10749,-2394,1,0,0,0,Laborers,1
5033514,F,Y,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,-15952,-384,1,1,0,0,Sales staff,3
5033916,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-13015,-3647,1,0,0,0,,2
